slutid,j1,j2,j3,j4,j5,j6
1,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
2,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
3,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
4,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
5,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
6,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
7,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
8,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
9,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
10,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
11,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
12,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
13,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
14,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
15,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
16,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
17,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
18,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
19,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
20,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
21,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
22,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
23,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
24,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
25,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
26,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
27,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
28,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
29,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
30,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
31,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
32,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
33,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
34,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
35,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
36,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
37,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
38,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
39,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
40,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
41,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
42,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
43,1.72788,-1.57080,1.85005,-2.16421,-1.48353,0.82030
44,1.72788,-1.57080,1.85005,-2.16421,-1.48353,0.82030
45,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
46,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
47,1.72788,-1.57080,1.85005,-2.16421,-1.48353,0.82030
48,1.72788,-1.57080,1.85005,-2.16421,-1.48353,0.82030
49,1.72788,-1.57080,1.85005,-2.16421,-1.48353,0.82030
50,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-0.82030
51,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
52,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
53,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
54,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
55,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
56,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-0.82030
57,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-0.82030
58,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
59,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
60,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
61,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
62,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
63,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
64,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
65,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-0.82030
66,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
67,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
68,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
69,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
70,1.72788,-1.57080,1.85005,-2.16421,-1.48353,-1.76278
