boldid,positionx,positiony
1,0.3266,-0.1449
2,0.3619,-0.2485
3,0.3951,-0.1759
4,0.3266,-0.1449
5,0.3648,-0.2474
6,0.3951,-0.1759
7,0.3648,-0.2474
8,0.3137,-0.2632
9,0.3805,-0.2985
10,0.3451,-0.1946
11,0.2952,-0.2134
12,0.3619,-0.2485
13,0.3255,-0.1419
14,0.2922,-0.2145
15,0.3648,-0.2474
16,0.3255,-0.1419
17,0.3422,-0.1958
18,0.3119,-0.2673
19,0.3834,-0.2974
20,0.3266,-0.1449
21,0.3922,-0.1770
22,0.3637,-0.2445
23,0.3805,-0.2985
24,0.3148,-0.2662
25,0.3520,-0.3661
26,0.3255,-0.1419
27,0.3255,-0.1419
28,0.3255,-0.1419
29,0.3451,-0.1946
30,0.3255,-0.1419
31,0.3255,-0.1419
32,0.3421,-0.1057
33,0.3381,-0.1039
34,0.3410,-0.1027
35,0.3410,-0.1027
36,0.3410,-0.1027
37,0.3381,-0.1039
38,0.3381,-0.1039
39,0.3381,-0.1039
40,1.3953,-1.0816
41,0.3392,-0.1068
42,0.3392,-0.1068
43,0.3392,-0.1068
44,0.3392,-0.1068
45,0.3439,-0.1016
46,0.3439,-0.1016
47,0.3439,-0.1016
48,0.3410,-0.1027
49,0.3439,-0.1016
50,0.3384,-0.1137
51,0.3384,-0.1137
52,0.3384,-0.1137
53,0.3395,-0.1167
54,0.3384,-0.1137
55,0.3384,-0.1137
56,0.3366,-0.1178
57,0.3395,-0.1167
58,0.3395,-0.1167
59,0.3395,-0.1167
60,0.3395,-0.1167
61,0.3395,-0.1167
62,0.3395,-0.1167
63,0.3395,-0.1167
64,0.3395,-0.1167
65,0.3406,-0.1196
66,0.3424,-0.1155
67,0.3424,-0.1155
68,0.3424,-0.1155
69,0.3424,-0.1155
70,0.3424,-0.1155
