kopid,positionx,positiony
1,0.1437,-0.7999
2,0.2299,-0.7613
3,0.3314,-0.7270
4,0.1342,-0.7832
5,0.2366,-0.7520
6,0.3370,-0.7149
7,0.1342,-0.7832
8,0.1246,-0.7935
9,0.2366,-0.7520
10,0.3614,-0.6991
11,0.1265,-0.7895
12,0.2288,-0.7583
13,0.3104,-0.7247
14,0.1265,-0.7895
15,0.1276,-0.7924
16,0.0254,-0.8236
17,0.1294,-0.7884
18,0.2277,-0.7553
19,0.2122,-0.8590
20,0.1324,-0.7873
21,0.2248,-0.7564
22,0.2052,-0.8582
23,0.1294,-0.7884
24,0.2259,-0.7594
25,0.3203,-0.7244
26,0.2538,-0.7896
27,0.2538,-0.7896
28,0.2538,-0.7896
29,0.2151,-0.7027
30,0.2180,-0.7016
31,0.2180,-0.7016
32,0.2110,-0.7008
33,0.2191,-0.7046
34,0.1686,-0.7402
35,0.1667,-0.7442
36,0.1678,-0.7472
37,0.1697,-0.7431
38,0.1697,-0.7431
39,0.1697,-0.7431
40,0.4649,-0.6607
41,0.4657,-0.6537
42,0.4657,-0.6537
43,0.4657,-0.6537
44,0.3976,-0.6789
45,0.3810,-0.6614
46,0.4036,-0.6497
47,-0.0127,-0.8747
48,0.0483,-0.8589
49,0.0453,-0.8599
50,0.0631,-0.8904
51,0.1711,-0.7561
52,0.1623,-0.7594
53,0.1663,-0.7612
54,0.1751,-0.7580
55,0.1781,-0.7569
56,-0.0509,-0.9528
57,0.1703,-0.7631
58,0.1770,-0.7539
59,0.1744,-0.7650
60,0.1714,-0.7661
61,0.1714,-0.7661
62,0.1681,-0.7572
63,0.1178,-0.6111
64,0.1189,-0.6140
65,0.2198,-0.9069
66,0.1803,-0.7628
67,0.1773,-0.7639
68,0.1773,-0.7639
69,0.1803,-0.7628
70,0.1773,-0.7639
